,algorithm,n_neighbors,n_neighbors_best,n_clusters,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
5,kmeans,60,,74,euclidean,pearson,0.9896086959392404,1.175452428929946,0.296875,0.404952481101109,0.5401837689132707,0.453125,0.5764705882352941,0.7333333333333335,0.21875,0.3965686274509803,0.6584876543209878
6,kmeans,30,,50,jaccard,pearson,1.065359161953975,1.1979412473873277,0.296875,0.4352182058951259,0.3604717525685443,0.421875,0.636842105263158,0.6352941176470588,0.1875,0.3789473684210527,0.3470588235294117
0,kmeans,10,,147,euclidean,pearson,0.9880610786604378,1.1763600720511371,0.296875,0.3977928172641701,0.5367356116254813,0.421875,0.5529411764705882,0.6777777777777779,0.203125,0.4024509803921569,0.6584876543209878
1,kmeans,20,,112,euclidean,pearson,0.9834435701692366,1.1725613454707111,0.28125,0.3815238034404012,0.5208694845103551,0.4375,0.5823529411764705,0.7333333333333335,0.203125,0.4024509803921569,0.6584876543209878
2,kmeans,30,,84,euclidean,pearson,0.9856448163001538,1.1719950535285084,0.28125,0.3968385680819002,0.5295623166269734,0.453125,0.5823529411764705,0.7333333333333335,0.21875,0.4024509803921569,0.6584876543209878
3,kmeans,40,,81,euclidean,pearson,0.9848831392754888,1.171986074907641,0.296875,0.4118015183145598,0.5406880187266276,0.453125,0.5941176470588235,0.7333333333333335,0.21875,0.4142156862745098,0.6584876543209878
4,kmeans,50,,67,euclidean,pearson,0.9925311649727367,1.1784103991710038,0.296875,0.4064620538281671,0.5406880187266276,0.4375,0.5823529411764705,0.7055555555555557,0.203125,0.4024509803921569,0.63070987654321
5,kmeans,60,,61,euclidean,pearson,0.9907785148598682,1.1767722710518695,0.28125,0.4031322817505628,0.5335961066502601,0.4375,0.5764705882352941,0.7055555555555557,0.203125,0.3965686274509803,0.63070987654321
6,kmeans,30,,50,jaccard,pearson,0.925561554531739,1.0732791873658885,0.4375,0.4356303370529522,0.3936046878641752,0.421875,0.6,0.625,0.203125,0.2551724137931035,0.2632142857142857
0,kmeans,10,,130,euclidean,pearson,0.9884231934105786,1.1764261877012687,0.28125,0.3878175171090637,0.5285840647255525,0.421875,0.5529411764705882,0.6777777777777779,0.203125,0.4024509803921569,0.6584876543209878
