,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
1,1679856551.947702,86953,opf_snn,40,24,27,NA,NA,0.6348214914052268,0.888793377138404,0.7406401038412188,0.2070504680288041,0.38485135340202825
0,1679856554.65964,86953,opf,45,41,2,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679856559.881622,86953,opf_snn,45,19,34,NA,NA,0.6922388881211233,0.8871346344695029,0.7776616287344017,0.23813786516179938,0.40746901908288885
0,1679856562.866041,86953,opf,50,46,1,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679856568.208484,86953,opf_snn,50,26,23,NA,NA,0.6087481049081598,0.8674819152987444,0.7154413130091982,0.17080640407192,0.33820380369680236
0,1679856571.468445,33812,opf,5,5,60,NA,NA,0.6729386252004128,0.8274358036707027,0.7422327406402267,0.14274072485524342,0.29202383079548594
1,1679856573.053565,33812,opf_snn,5,5,75,NA,NA,0.8019821989492057,0.8748199305114353,0.8368190846487357,0.33311422096905324,0.46037775515203816
0,1679856574.599582,33812,opf,10,10,37,NA,NA,0.5576488200659749,0.8255227385817301,0.665646684577305,0.11553628047669376,0.2720182746193307
1,1679856576.352357,33812,opf_snn,10,6,62,NA,NA,0.8045981691668912,0.8945796115922258,0.8472063674697642,0.38308026030368764,0.512703808736404
0,1679856577.9596,33812,opf,15,15,20,NA,NA,0.39961574192233357,0.7893106614800993,0.5305979658487116,0.041488563010024106,0.18035920718439757
1,1679856579.91874,33812,opf_snn,15,8,57,NA,NA,0.7826606911396574,0.8788495685121529,0.827970825583294,0.31552702113071124,0.4594002259071094
0,1679856581.691053,33812,opf,20,20,15,NA,NA,0.20725187112165763,0.8854661643580454,0.3358863191043777,0.018223340417251876,0.12902011736424857
1,1679856584.079078,33812,opf_snn,20,9,55,NA,NA,0.7663212389623516,0.8816126309758577,0.8199339742675595,0.30101721553618466,0.4570743766999221
0,1679856585.93797,33812,opf,25,25,7,NA,NA,0.11216283464748766,0.8371275431537241,0.19782060452164607,0.010435239243427971,0.07871051842740648
1,1679856588.691082,33812,opf_snn,25,24,32,NA,NA,0.6533913311668591,0.8696675988895666,0.7461737151432326,0.20442777347413055,0.38152189120667573
0,1679856590.799844,33812,opf,30,29,3,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679856594.049616,33812,opf_snn,30,8,57,NA,NA,0.7826606911396574,0.8788495685121529,0.827970825583294,0.31552702113071124,0.4594002259071094
0,1679856596.260152,33812,opf,35,32,2,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679856600.076666,33812,opf_snn,35,20,32,NA,NA,0.6274510079013719,0.8650067240328448,0.7273228972889869,0.18802402048021927,0.3642659444213212
0,1679856602.580329,33812,opf,40,32,2,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679856606.958647,33812,opf_snn,40,17,37,NA,NA,0.7101575668968206,0.8681120786581948,0.7812307146753082,0.25503555653424176,0.40237058330127545
0,1679856609.60834,33812,opf,45,42,1,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679856614.312173,33812,opf_snn,45,20,32,NA,NA,0.6274510079013719,0.8650067240328448,0.7273228972889869,0.18802402048021927,0.3642659444213212
0,1679856617.313183,33812,opf,50,42,1,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679856622.051883,33812,opf_snn,50,25,27,NA,NA,0.6454822824762853,0.8646711377872898,0.739169798407493,0.21069353287906023,0.37166710524615565
0,1679856625.260788,39221,opf,5,5,64,NA,NA,0.7412327999202774,0.8323882770517622,0.7841703472949303,0.2557350793725564,0.3562601652503564
1,1679856626.784354,39221,opf_snn,5,4,89,NA,NA,0.8685033035146577,0.9077298238521387,0.887683422370448,0.5210853447795306,0.6183508163608947
0,1679856628.298039,39221,opf,10,9,44,NA,NA,0.6456480982045706,0.782352448141367,0.7074568305463317,0.10194011249957897,0.21340071961363435
1,1679856630.024547,39221,opf_snn,10,7,65,NA,NA,0.826160649251305,0.8891031341297542,0.8564770382968245,0.3871411272011706,0.5375719037592569
0,1679856631.667857,39221,opf,15,14,26,NA,NA,0.45012247648521875,0.8366769833292405,0.5853392506220697,0.06682335507536834,0.2503719148337361
1,1679856633.655489,39221,opf_snn,15,9,51,NA,NA,0.8531182753172902,0.8904510697594595,0.8713849931264843,0.43888950184807196,0.5613281394227523
0,1679856635.382158,39221,opf,20,20,14,NA,NA,0.18532729757535116,0.790747416028447,0.30027841031999,0.011772196958681995,0.0812040642689622
1,1679856637.698275,39221,opf_snn,20,20,35,NA,NA,0.7256356202260924,0.8797055335579634,0.7952772766772616,0.23708511555422926,0.4494350099694485
0,1679856639.616649,39221,opf,25,25,7,NA,NA,0.0777858693730493,1.0000000000000038,0.14434382855343528,0.008024839331986347,0.06781086198243823
1,1679856642.324579,39221,opf_snn,25,18,38,NA,NA,0.7735615809663545,0.8967085879423976,0.8305953442346649,0.3267850735557948,0.5165252707805166
0,1679856644.408771,39221,opf,30,29,4,NA,NA,0.0777858693730493,1.0000000000000038,0.14434382855343528,0.008024839331986347,0.06781086198243823
1,1679856647.598398,39221,opf_snn,30,9,51,NA,NA,0.8531182753172902,0.8904510697594595,0.8713849931264843,0.43888950184807196,0.5613281394227523
0,1679856649.742202,39221,opf,35,29,4,NA,NA,0.0777858693730493,1.0000000000000038,0.14434382855343528,0.008024839331986347,0.06781086198243823
1,1679856653.542273,39221,opf_snn,35,11,45,NA,NA,0.8094805180697621,0.8932432725549657,0.8493016084127565,0.38833776917493346,0.5363253377153587
0,1679856655.905469,39221,opf,40,36,3,NA,NA,0.06320849503385259,0.9258798213337646,0.11833820927871117,0.005881096938301862,0.04714959484263852
1,1679856660.319991,39221,opf_snn,40,14,41,NA,NA,0.7675317774925405,0.8920040388168063,0.8250999330236419,0.36751844162728037,0.5072434834300391
0,1679856662.954069,39221,opf,45,36,3,NA,NA,0.06320849503385259,0.9258798213337646,0.11833820927871117,0.005881096938301862,0.04714959484263852
1,1679856668.183474,39221,opf_snn,45,13,42,NA,NA,0.7581696104352155,0.8855511385243231,0.8169246049128926,0.33329536511618274,0.48597267821389795
0,1679856671.129118,39221,opf,50,49,1,NA,NA,0.0,1.0,0.0,0.0,0.0
1,1679856676.981636,39221,opf_snn,50,19,37,NA,NA,0.7387117106827612,0.8762910560858228,0.8016413078875151,0.26717514336044373,0.4530503400653396
0,1679856680.181883,17739,opf,5,5,57,NA,NA,0.7315128732384182,0.8319524664378543,0.7785064672399524,0.2183941691303457,0.3238537736453883
1,1679856681.739186,17739,opf_snn,5,4,90,NA,NA,0.8605606547475433,0.8835407269543001,0.8718992995028705,0.47763130362000417,0.5277508912830633
0,1679856683.250883,17739,opf,10,9,40,NA,NA,0.6195208248608906,0.8076870338420685,0.701199806859285,0.1323805605738101,0.24373588167801863
1,1679856684.984986,17739,opf_snn,10,8,59,NA,NA,0.8006810590035867,0.8942741376364914,0.8448935582270178,0.40357441122431936,0.5144559166280267
0,1679856686.649829,17739,opf,15,15,22,NA,NA,0.47326967578912665,0.8040781380523438,0.5958373993074157,0.07423399567223611,0.21581950224844476
1,1679856688.733511,17739,opf_snn,15,7,69,NA,NA,0.8141377045376321,0.8765543152013274,0.8441938682489897,0.40206488591689016,0.4781730953384407
0,1679856690.463691,17739,opf,20,17,19,NA,NA,0.39427487898249847,0.8167915558481151,0.5318294398622064,0.03921640024760587,0.18407207235165005
1,1679856692.768505,17739,opf_snn,20,11,51,NA,NA,0.7942075403445681,0.8720370411987725,0.8313046010788391,0.36749399519615694,0.45529984384145644
0,1679856694.672243,17739,opf,25,25,10,NA,NA,0.08457258823293609,1.000000000000001,0.15595560712211595,0.006210833886904292,0.05758001214704858
1,1679856697.398817,17739,opf_snn,25,10,53,NA,NA,0.7626428898736161,0.8655853576369168,0.8108599265364794,0.3493725884374696,0.42466826338472474
0,1679856699.46781,17739,opf,30,30,5,NA,NA,0.06537492887001155,1.0000000000000009,0.12272661407444865,0.00486349841466699,0.045739269881267905
1,1679856702.690466,17739,opf_snn,30,16,35,NA,NA,0.6936597401047871,0.854167460262211,0.7655913765450898,0.2715480190669688,0.37226693007073247
0,1679856704.904784,17739,opf,35,35,4,NA,NA,0.0461298235786092,1.0000000000000044,0.08819139372359723,0.0035668671788661463,0.03399848054905013
1,1679856708.63664,17739,opf_snn,35,11,51,NA,NA,0.7942075403445681,0.8720370411987725,0.8313046010788391,0.36749399519615694,0.45529984384145644
0,1679856711.026091,17739,opf,40,40,2,NA,NA,0.0461298235786092,1.0000000000000044,0.08819139372359723,0.0035668671788661463,0.03399848054905013
1,1679856715.406651,17739,opf_snn,40,21,30,NA,NA,0.6887187623411257,0.8499975740649302,0.7609060401220993,0.27406862873795584,0.3624759629619765
0,1679856718.031669,17739,opf,45,45,2,NA,NA,0.0461298235786092,1.0000000000000044,0.08819139372359723,0.0035668671788661463,0.03399848054905013
1,1679856723.158739,17739,opf_snn,45,17,35,NA,NA,0.7359077767041624,0.8715781853345763,0.7980177491316212,0.3228636350562315,0.42647972300421094
0,1679856726.022412,17739,opf,50,45,2,NA,NA,0.0461298235786092,1.0000000000000044,0.08819139372359723,0.0035668671788661463,0.03399848054905013
1,1679856731.922342,17739,opf_snn,50,19,36,NA,NA,0.746323881769183,0.8680666156396418,0.8026048806137793,0.33012598851369634,0.42305396955575214
0,1679856735.030746,17219,opf,5,4,78,NA,NA,0.8531377340589305,0.8881528820347361,0.8702932529170244,0.42844638167884386,0.49182002425078786
1,1679856736.596521,17219,opf_snn,5,4,89,NA,NA,0.886060911212239,0.90867896195884,0.8972274155920454,0.5120633082416521,0.5840545424049621
0,1679856738.107462,17219,opf,10,10,34,NA,NA,0.5264836597775228,0.7900944741586713,0.6318984336788539,0.0622766238306176,0.1591879897343239
1,1679856739.855884,17219,opf_snn,10,5,82,NA,NA,0.8708792662203795,0.9201679613246014,0.8948454140500837,0.5474734300368367,0.601912370477167
0,1679856741.498561,17219,opf,15,15,22,NA,NA,0.3655714649530215,0.8218332405670311,0.5060427675660828,0.02765873964002867,0.14978154830288679
1,1679856743.480031,17219,opf_snn,15,8,60,NA,NA,0.8012164503393889,0.8950519801262055,0.8455387808981631,0.3633195382269658,0.4765595790135915
0,1679856745.190871,17219,opf,20,20,15,NA,NA,0.27368844053103497,0.8588763085792707,0.41510124288923733,0.02168906547861991,0.14685607593503813
1,1679856747.514069,17219,opf_snn,20,6,73,NA,NA,0.8475921220748894,0.900221221327103,0.8731143038836445,0.44673996778485886,0.5251923109446544
0,1679856749.400276,17219,opf,25,25,6,NA,NA,0.1297537855270826,0.8636635499700732,0.22561236053786685,0.010081219276162557,0.081503533326669
1,1679856752.146879,17219,opf_snn,25,10,51,NA,NA,0.7665302805585353,0.9010787070827363,0.828376578999385,0.2937994647839207,0.465545300895785
0,1679856754.210097,17219,opf,30,30,3,NA,NA,0.09452862786505091,0.8353330508488934,0.16983792087503424,0.006227152050929208,0.06342986238587894
1,1679856757.416682,17219,opf_snn,30,12,43,NA,NA,0.8183490984686695,0.916707710529134,0.8647404794821846,0.42955346311593784,0.5440631287824127
