,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1679859580.728788,95673,opf,15,15,40,NA,NA,0.9152773783449335,0.9183649394690236,0.9168185594268067,0.8825739464755104,0.9121208216988569
1,1679859589.242455,95673,opf_snn,15,11,157,NA,NA,0.9647753737676725,0.9646191671250381,0.9646972641229946,0.9577766919417773,0.96271109144915
0,1679859597.452625,95673,opf,20,20,28,NA,NA,0.9068141745780146,0.9104287142142105,0.908617849693153,0.868894447567102,0.9034533754811613
1,1679859607.000667,95673,opf_snn,20,13,147,NA,NA,0.9590904070707478,0.9590526741369306,0.9590715402327056,0.9511739046535999,0.9567685620053555
0,1679859615.971081,95673,opf,25,24,21,NA,NA,0.895157828781583,0.9053330255695072,0.9002166753967115,0.8422644987395588,0.8945347286442984
1,1679859626.410416,95673,opf_snn,25,13,147,NA,NA,0.9590904070707478,0.9590526741369306,0.9590715402327056,0.9511739046535999,0.9567685620053555
0,1679859636.218761,95673,opf,30,29,17,NA,NA,0.8809183109246691,0.9038841745441685,0.8922534866392532,0.8204966481627203,0.886061771109658
1,1679859648.182176,95673,opf_snn,30,14,132,NA,NA,0.9403078229246816,0.94053800762705,0.9404229011904484,0.9276331830404153,0.9370695771505907
0,1679859659.081339,95673,opf,35,35,13,NA,NA,0.8461418767858758,0.893547531969702,0.869198814332101,0.7836362537456375,0.8625586571309372
1,1679859672.477116,95673,opf_snn,35,20,85,NA,NA,0.9107675790787526,0.9120501676503682,0.9114084221309011,0.8706896843481955,0.9064155574401472
0,1679859684.536309,95673,opf,40,37,12,NA,NA,0.8396144754138124,0.8850414758465908,0.8617297077939959,0.7780786613696878,0.8547228558281017
1,1679859699.575977,95673,opf_snn,40,16,113,NA,NA,0.9346791920376336,0.9366520871882946,0.935664599627335,0.9224404915646597,0.9320359791716152
0,1679859712.876465,95673,opf,45,42,11,NA,NA,0.8345970230563226,0.881308418991958,0.8573169183578666,0.7736237529985934,0.8500752548076324
1,1679859729.114525,95673,opf_snn,45,19,90,NA,NA,0.9293807124409386,0.9307530454287541,0.9300663727083932,0.9048964010988004,0.9261247370702211
0,1679859743.015686,95673,opf,50,42,11,NA,NA,0.8345970230563226,0.881308418991958,0.8573169183578666,0.7736237529985934,0.8500752548076324
1,1679859761.109032,95673,opf_snn,50,39,39,NA,NA,0.8844746292288894,0.8930434279491941,0.888738374984086,0.8270142929676272,0.8824121875410524
0,1679859776.742311,93719,opf,5,5,246,NA,NA,0.9666400271688472,0.967168872429137,0.9669043774864412,0.9643676367361877,0.9650269620549028
1,1679859783.427082,93719,opf_snn,5,4,423,NA,NA,0.983251401517055,0.98376218081202,0.9835067248468745,0.9824395800579294,0.9825711353981262
0,1679859789.989832,93719,opf,10,10,85,NA,NA,0.9405834603510098,0.9444504181767431,0.9425129729259246,0.9213242870380001,0.9392395741124314
1,1679859797.155388,93719,opf_snn,10,6,299,NA,NA,0.9720426365673686,0.9721972444642507,0.9721199343685224,0.9687960414556371,0.9705390268765575
0,1679859804.212538,93719,opf,15,15,42,NA,NA,0.9068831073578345,0.9096877173887628,0.9082832473496952,0.8818039243054038,0.9030663794066278
1,1679859812.141682,93719,opf_snn,15,10,174,NA,NA,0.9675391480026775,0.9683856345933477,0.9679622062341209,0.9616476954326438,0.9661441365314168
0,1679859819.977985,93719,opf,20,20,32,NA,NA,0.9080306566021127,0.9142989495822996,0.9111540225240937,0.8750451564284621,0.9060806688898078
1,1679859828.739028,93719,opf_snn,20,15,105,NA,NA,0.9384604459861214,0.9405257930952817,0.9394919844449269,0.9299741143526186,0.9360533669008838
0,1679859837.033614,93719,opf,25,24,22,NA,NA,0.8848596841956629,0.9075552312202158,0.8960637722670535,0.8316631255524913,0.890044836792804
1,1679859846.790159,93719,opf_snn,25,17,89,NA,NA,0.9269684931826127,0.931892907829844,0.9294241777338461,0.9123842749155977,0.9254004324160071
