,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
1,1679933176.68632,39221,opf_snn,25,17,612,1.670889509024912,-0.03849995881319046,NA,NA,NA,NA,NA
0,1679933316.018083,39221,opf,30,30,176,1.405800950631523,0.12177979201078415,NA,NA,NA,NA,NA
1,1679933465.683591,39221,opf_snn,30,18,576,1.6702253961798825,-0.02607410028576851,NA,NA,NA,NA,NA
0,1679933608.907564,39221,opf,35,35,150,1.448193883105893,0.13516472280025482,NA,NA,NA,NA,NA
1,1679933762.600795,39221,opf_snn,35,24,451,1.7877349485873297,-0.01017419621348381,NA,NA,NA,NA,NA
0,1679933910.528279,39221,opf,40,40,130,1.473312242367226,0.10557142645120621,NA,NA,NA,NA,NA
1,1679934069.625364,39221,opf_snn,40,27,388,1.7020715199935301,-0.0005693836719729006,NA,NA,NA,NA,NA
0,1679934222.067077,39221,opf,45,45,103,1.558836721839089,0.11639700084924698,NA,NA,NA,NA,NA
1,1679934388.983364,39221,opf_snn,45,23,464,1.7126709781349725,-0.012932040728628635,NA,NA,NA,NA,NA
0,1679934545.255253,39221,opf,50,50,92,1.54071042835535,0.10975554585456848,NA,NA,NA,NA,NA
1,1679934719.052359,39221,opf_snn,50,25,426,1.650178426016578,-0.00017698644660413265,NA,NA,NA,NA,NA
0,1679934880.650374,17739,opf,5,5,1473,1.4959673698364788,-0.009677953086793423,NA,NA,NA,NA,NA
1,1679935018.02099,17739,opf_snn,5,5,1850,1.363436427068171,-0.06599190831184387,NA,NA,NA,NA,NA
0,1679935159.551424,17739,opf,10,10,624,1.4860286626150172,0.07524745911359787,NA,NA,NA,NA,NA
1,1679935325.761695,17739,opf_snn,10,8,1239,1.5825736274020863,-0.05817851796746254,NA,NA,NA,NA,NA
0,1679935490.555113,17739,opf,15,15,367,1.3731420968520736,0.10334030538797379,NA,NA,NA,NA,NA
1,1679935659.320158,17739,opf_snn,15,14,739,1.5953348418939723,-0.03657345101237297,NA,NA,NA,NA,NA
0,1679935826.297032,17739,opf,20,20,270,1.529642243389827,0.12163038551807404,NA,NA,NA,NA,NA
1,1679935998.832237,17739,opf_snn,20,13,758,1.6506470282656815,-0.03811773657798767,NA,NA,NA,NA,NA
0,1679936171.331931,17739,opf,25,25,206,1.617729438822819,0.1313222348690033,NA,NA,NA,NA,NA
1,1679936349.715963,17739,opf_snn,25,16,640,1.6171088594403493,-0.02800057828426361,NA,NA,NA,NA,NA
0,1679936497.173148,17739,opf,30,30,173,1.5498956357924147,0.11499530076980591,NA,NA,NA,NA,NA
1,1679936650.03794,17739,opf_snn,30,16,638,1.6102552282862443,-0.02796369604766369,NA,NA,NA,NA,NA
0,1679936794.094328,17739,opf,35,35,145,1.542144941049935,0.1126181110739708,NA,NA,NA,NA,NA
1,1679936946.872172,17739,opf_snn,35,24,440,1.711715386991428,0.001793715637177229,NA,NA,NA,NA,NA
0,1679937113.166758,17739,opf,40,40,119,1.5716430824531564,0.10372786223888397,NA,NA,NA,NA,NA
1,1679937298.94933,17739,opf_snn,40,27,400,1.6465528079385594,-0.006326924078166485,NA,NA,NA,NA,NA
0,1679937475.130404,17739,opf,45,45,102,1.6622198301211102,0.11069108545780182,NA,NA,NA,NA,NA
1,1679937659.232458,17739,opf_snn,45,34,299,1.6982983429593297,0.024191882461309433,NA,NA,NA,NA,NA
0,1679937834.43793,17739,opf,50,49,93,1.6269418024526878,0.10152711719274521,NA,NA,NA,NA,NA
1,1679938042.694824,17739,opf_snn,50,49,201,1.775540568081913,0.03843988850712776,NA,NA,NA,NA,NA
0,1679938231.878121,17219,opf,5,5,1474,1.4473683951664753,-0.015724193304777145,NA,NA,NA,NA,NA
1,1679938375.171246,17219,opf_snn,5,5,1839,1.3288398825671706,-0.05167768523097038,NA,NA,NA,NA,NA
0,1679938516.402462,17219,opf,10,10,610,1.577139023357696,0.06139514222741127,NA,NA,NA,NA,NA
1,1679938663.686195,17219,opf_snn,10,8,1231,1.4160471758589475,-0.04995177313685417,NA,NA,NA,NA,NA
0,1679938806.677218,17219,opf,15,15,373,1.5572177635805744,0.09971169382333755,NA,NA,NA,NA,NA
1,1679938954.02533,17219,opf_snn,15,10,1033,1.5070193848713964,-0.03491704910993576,NA,NA,NA,NA,NA
0,1679939090.289871,17219,opf,20,20,271,1.452987787617669,0.1202642172574997,NA,NA,NA,NA,NA
1,1679939230.451558,17219,opf_snn,20,13,779,1.589650442807337,-0.024115996435284615,NA,NA,NA,NA,NA
0,1679939368.11996,17219,opf,25,25,215,1.4452620672274001,0.1267898827791214,NA,NA,NA,NA,NA
1,1679939511.579915,17219,opf_snn,25,14,720,1.659373581819791,-0.03515743091702461,NA,NA,NA,NA,NA
0,1679939661.882215,17219,opf,30,30,174,1.5221144124780766,0.11859048157930374,NA,NA,NA,NA,NA
1,1679939824.074394,17219,opf_snn,30,18,586,1.6440704500535928,-0.011330589652061462,NA,NA,NA,NA,NA
0,1679939984.687875,17219,opf,35,35,149,1.574865412956725,0.12014517933130264,NA,NA,NA,NA,NA
1,1679940162.539676,17219,opf_snn,35,21,505,1.6960637783830956,-0.024020634591579437,NA,NA,NA,NA,NA
0,1679940318.89394,17219,opf,40,40,128,1.5483518463637262,0.1308915764093399,NA,NA,NA,NA,NA
1,1679940485.792618,17219,opf_snn,40,25,420,1.775867087569016,-0.027810970321297646,NA,NA,NA,NA,NA
0,1679940643.803028,17219,opf,45,45,100,1.660232391170235,0.15262192487716675,NA,NA,NA,NA,NA
1,1679940817.419607,17219,opf_snn,45,33,317,1.8100121718739968,-0.004406622610986233,NA,NA,NA,NA,NA
0,1679940980.621539,17219,opf,50,50,86,1.6600285747875603,0.13782331347465515,NA,NA,NA,NA,NA
1,1679941156.821553,17219,opf_snn,50,31,334,1.84333185598583,-0.0059837475419044495,NA,NA,NA,NA,NA
0,1679941321.882272,95673,opf,5,5,1506,1.350543984922321,0.005940080154687166,NA,NA,NA,NA,NA
1,1679941459.891013,95673,opf_snn,5,5,1870,1.3331327325204023,-0.05653350055217743,NA,NA,NA,NA,NA
