,timestamp,random_state,algorithm,k_max,k_best,n_clusters,db_index,silhouette_score,homogeneity,completeness,v_measure,adjusted_rand_index,adjusted_mutual_info
0,1679894736.189344,17739,opf,20,20,221,1.4141867565775215,0.09052500128746033,NA,NA,NA,NA,NA
1,1679894811.180425,17739,opf_snn,20,17,452,1.0603623973520364,0.16558119654655457,NA,NA,NA,NA,NA
0,1679894885.400132,17739,opf,25,25,160,1.5054551935194092,0.09836243093013763,NA,NA,NA,NA,NA
1,1679894963.769638,17739,opf_snn,25,20,380,1.160212538462951,0.15529948472976685,NA,NA,NA,NA,NA
0,1679895040.059839,17739,opf,30,30,124,1.5650537575766068,0.10266841948032379,NA,NA,NA,NA,NA
1,1679895121.762112,17739,opf_snn,30,27,296,1.2728593399532433,0.13977882266044617,NA,NA,NA,NA,NA
0,1679895201.165263,17739,opf,35,35,98,1.6454178555933396,0.09266937524080276,NA,NA,NA,NA,NA
1,1679895286.883863,17739,opf_snn,35,27,295,1.2606546758260981,0.1410343050956726,NA,NA,NA,NA,NA
0,1679895369.295976,17739,opf,40,40,74,1.7286066380821838,0.088614322245121,NA,NA,NA,NA,NA
1,1679895459.900064,17739,opf_snn,40,32,233,1.2878065606851592,0.13740329444408417,NA,NA,NA,NA,NA
0,1679895545.796658,17739,opf,45,45,65,1.7814185116200656,0.09014225006103516,NA,NA,NA,NA,NA
1,1679895640.907434,17739,opf_snn,45,31,242,1.2926576901258109,0.14492225646972656,NA,NA,NA,NA,NA
0,1679895730.081067,17739,opf,50,48,56,1.7191772221909583,0.08795418590307236,NA,NA,NA,NA,NA
1,1679895831.986554,17739,opf_snn,50,38,210,1.3117665084078904,0.13821692764759064,NA,NA,NA,NA,NA
0,1679895925.199271,17219,opf,5,5,1083,0.8914972611315574,0.21496132016181946,NA,NA,NA,NA,NA
1,1679895993.736544,17219,opf_snn,5,5,1289,0.7850286882292727,0.1919984370470047,NA,NA,NA,NA,NA
0,1679896061.584754,17219,opf,10,10,537,1.142302611916961,0.15953980386257172,NA,NA,NA,NA,NA
1,1679896131.872817,17219,opf_snn,10,10,751,0.9692777948479422,0.16827769577503204,NA,NA,NA,NA,NA
0,1679896201.541436,17219,opf,15,15,329,1.2680726939371478,0.12335214763879776,NA,NA,NA,NA,NA
1,1679896274.044683,17219,opf_snn,15,14,563,1.016458497109668,0.18199613690376282,NA,NA,NA,NA,NA
0,1679896345.16483,17219,opf,20,20,224,1.4406762847669508,0.1157226413488388,NA,NA,NA,NA,NA
