,algorithm,n_neighbors,n_neighbors_best,n_clusters,distance,similarity,mae,rmse,ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10
2,kmeans,30,0,19,euclidean,pearson,0.618204305770315,0.7656186455467414,0.5245901639344263,0.5942926671949649,0.6289085548317994,0.5081967213114754,0.6883720930232556,0.7302513227513228,0.360655737704918,0.4344961240310077,0.3817592592592593
3,kmeans,40,0,21,euclidean,pearson,0.6011932048832223,0.7557641337169543,0.5737704918032787,0.6110797808391131,0.6281939049778679,0.5245901639344263,0.7151162790697674,0.7793650793650795,0.3442622950819672,0.4356589147286821,0.3698148148148149
4,kmeans,50,0,19,euclidean,pearson,0.618204305770315,0.7656186455467414,0.5245901639344263,0.5942926671949649,0.6289085548317994,0.5081967213114754,0.6883720930232556,0.7302513227513228,0.360655737704918,0.4344961240310077,0.3817592592592593
5,kmeans,60,0,46,euclidean,pearson,0.6614186766881321,0.8413014820881707,0.4754098360655737,0.5333888620291646,0.5108006399685184,0.4426229508196721,0.6248062015503877,0.6125396825396827,0.3442622950819672,0.3914728682170543,0.3150925925925926
6,kmeans,60,0,16,squared_euclidean,pearson,0.5777838349804526,0.7049121957572307,0.5573770491803278,0.5379946508384073,0.621650196516114,0.4262295081967213,0.7166666666666668,0.630026455026455,0.2786885245901639,0.4329166666666666,0.3234567901234568
0,kmeans,10,0,133,euclidean,pearson,0.6772492059356116,0.8452720588101207,0.4098360655737705,0.4399693448388744,0.4876277899925696,0.4262295081967213,0.6170542635658913,0.6397222222222223,0.3114754098360656,0.3383720930232558,0.3321296296296295
1,kmeans,20,0,40,euclidean,pearson,0.6055762057025789,0.7623137445885452,0.4754098360655737,0.5212192427452769,0.5173752487244245,0.5409836065573771,0.6724806201550386,0.7126984126984127,0.3442622950819672,0.3821705426356589,0.3317592592592591
2,kmeans,30,0,16,euclidean,pearson,0.6031141604796597,0.7435307972012449,0.5901639344262295,0.6292210368825294,0.631960636506231,0.5409836065573771,0.7170542635658914,0.7417724867724867,0.3770491803278688,0.42984496124031,0.3623148148148149
3,kmeans,40,0,26,euclidean,pearson,0.6052985786141839,0.7598789717511015,0.5409836065573771,0.5480664556766244,0.5433829536098982,0.5081967213114754,0.623643410852713,0.654814814814815,0.3934426229508196,0.3914728682170542,0.3279629629629629
4,kmeans,50,0,34,euclidean,pearson,0.655542907436873,0.8199327400126064,0.4754098360655737,0.5185227788048276,0.5403167718396532,0.4754098360655737,0.6321705426356589,0.6102910052910053,0.2950819672131147,0.3860465116279071,0.3322222222222222
5,kmeans,60,0,28,euclidean,pearson,0.6606192206809332,0.8265749226621908,0.3770491803278688,0.478871832192873,0.5055804006558502,0.3934426229508196,0.5682170542635658,0.5949074074074076,0.2622950819672131,0.3624031007751938,0.3573148148148148
6,kmeans,60,0,16,squared_euclidean,pearson,0.6085469039762086,0.7571567238955392,0.4918032786885246,0.5618838922240319,0.6723786671382491,0.4590163934426229,0.6984496124031008,0.7274305555555555,0.2786885245901639,0.4286821705426357,0.4244874338624338
0,kmeans,10,0,135,euclidean,pearson,0.6958766947309337,0.8819830600245124,0.4098360655737705,0.4929688518681795,0.4710498894363971,0.4426229508196721,0.6015503875968993,0.6330687830687831,0.3442622950819672,0.4054263565891473,0.3390740740740741
1,kmeans,20,0,34,euclidean,pearson,0.6284844441668649,0.7811708438575635,0.3934426229508196,0.47901661211901,0.5029198230885321,0.4426229508196721,0.6248062015503876,0.6474074074074074,0.2622950819672131,0.3806201550387598,0.3238888888888888
2,kmeans,30,0,25,euclidean,pearson,0.639611350223897,0.7894021029453143,0.5409836065573771,0.5785860706384334,0.5881391059543045,0.4918032786885246,0.636046511627907,0.7056216931216933,0.3934426229508196,0.4465116279069766,0.3993518518518518
3,kmeans,40,0,19,euclidean,pearson,0.618204305770315,0.7656186455467414,0.5245901639344263,0.5942926671949649,0.6289085548317994,0.5081967213114754,0.6883720930232556,0.7302513227513228,0.360655737704918,0.4344961240310077,0.3817592592592593
4,kmeans,50,0,38,euclidean,pearson,0.7094750291002532,0.8925923045063645,0.4426229508196721,0.4989846331648465,0.4833045326791291,0.4426229508196721,0.5465116279069767,0.6055555555555557,0.3114754098360656,0.3674418604651161,0.3043518518518518
5,kmeans,60,0,4,euclidean,pearson,0.5920356318087647,0.7371466169059139,0.5245901639344263,0.5846206680700449,0.6032102892270202,0.4590163934426229,0.6662790697674419,0.720846560846561,0.3114754098360656,0.4286821705426357,0.3709259259259259
6,kmeans,60,0,34,squared_euclidean,pearson,0.6943420252324481,0.8334854484569942,0.3278688524590163,0.4174147816005107,0.4619996183311224,0.5573770491803278,0.5515151515151515,0.5503105590062112,0.3442622950819672,0.2646464646464647,0.3488440303657695
0,kmeans,10,0,102,euclidean,pearson,0.6888381896373369,0.8621773748364197,0.4098360655737705,0.4557830591123016,0.4654825717076365,0.4426229508196721,0.6434108527131783,0.6649603174603176,0.2786885245901639,0.3391472868217055,0.2737037037037036
1,kmeans,20,0,39,euclidean,pearson,0.6631863196815618,0.8264514784405733,0.4426229508196721,0.4959870914888114,0.4964163264224054,0.4918032786885246,0.615503875968992,0.6677777777777779,0.3278688524590163,0.3852713178294574,0.3242592592592591
2,kmeans,30,0,19,euclidean,pearson,0.618204305770315,0.7656186455467414,0.5245901639344263,0.5942926671949649,0.6289085548317994,0.5081967213114754,0.6883720930232556,0.7302513227513228,0.360655737704918,0.4344961240310077,0.3817592592592593
3,kmeans,40,0,17,euclidean,pearson,0.6040996679943167,0.7477164449162884,0.5081967213114754,0.562300398558037,0.5831620184879173,0.4590163934426229,0.6852713178294574,0.7529629629629632,0.3114754098360656,0.427906976744186,0.3743518518518519
